,element,fixture,opponent_team,total_points,was_home,round,minutes,value,id,first_name,last_name
0,1,1,3,1,False,1,90,50,1,Bernd,Leno
1,1,18,6,2,True,2,90,50,1,Bernd,Leno
2,1,24,12,1,False,3,90,49,1,Bernd,Leno
3,1,31,15,0,True,4,0,49,1,Bernd,Leno
4,1,43,5,0,False,5,0,49,1,Bernd,Leno
5,1,51,17,0,True,6,0,48,1,Bernd,Leno
6,1,61,4,0,False,7,0,48,1,Bernd,Leno
7,1,71,7,0,True,8,0,47,1,Bernd,Leno
8,1,81,2,0,True,9,0,47,1,Bernd,Leno
9,1,93,9,0,False,10,0,47,1,Bernd,Leno
10,1,101,18,0,True,11,0,47,1,Bernd,Leno
11,1,114,11,0,False,12,0,46,1,Bernd,Leno
12,1,121,14,0,True,13,0,46,1,Bernd,Leno
13,1,134,13,0,False,14,0,46,1,Bernd,Leno
14,1,142,8,0,False,15,0,46,1,Bernd,Leno
15,1,151,16,0,True,16,0,46,1,Bernd,Leno
16,1,161,19,0,True,17,0,46,1,Bernd,Leno
17,1,173,10,0,False,18,0,46,1,Bernd,Leno
18,1,187,15,0,False,19,0,45,1,Bernd,Leno
19,2,1,3,0,False,1,0,40,2,Rúnar Alex,Rúnarsson
20,2,18,6,0,True,2,0,40,2,Rúnar Alex,Rúnarsson
21,2,24,12,0,False,3,0,40,2,Rúnar Alex,Rúnarsson
22,2,31,15,0,True,4,0,40,2,Rúnar Alex,Rúnarsson
23,2,43,5,0,False,5,0,40,2,Rúnar Alex,Rúnarsson
24,2,51,17,0,True,6,0,40,2,Rúnar Alex,Rúnarsson
25,2,61,4,0,False,7,0,40,2,Rúnar Alex,Rúnarsson
26,2,71,7,0,True,8,0,40,2,Rúnar Alex,Rúnarsson
27,2,81,2,0,True,9,0,40,2,Rúnar Alex,Rúnarsson
28,2,93,9,0,False,10,0,40,2,Rúnar Alex,Rúnarsson
29,2,101,18,0,True,11,0,40,2,Rúnar Alex,Rúnarsson
30,2,114,11,0,False,12,0,40,2,Rúnar Alex,Rúnarsson
31,2,121,14,0,True,13,0,40,2,Rúnar Alex,Rúnarsson
32,2,134,13,0,False,14,0,40,2,Rúnar Alex,Rúnarsson
33,2,142,8,0,False,15,0,40,2,Rúnar Alex,Rúnarsson
34,2,151,16,0,True,16,0,40,2,Rúnar Alex,Rúnarsson
35,2,161,19,0,True,17,0,40,2,Rúnar Alex,Rúnarsson
36,2,173,10,0,False,18,0,40,2,Rúnar Alex,Rúnarsson
37,2,187,15,0,False,19,0,40,2,Rúnar Alex,Rúnarsson
38,3,1,3,0,False,1,0,65,3,Willian,Willian
39,3,18,6,0,True,2,0,64,3,Willian,Willian
40,3,24,12,0,False,3,0,63,3,Willian,Willian
41,3,31,15,0,True,4,0,63,3,Willian,Willian
42,3,43,5,0,False,5,0,63,3,Willian,Willian
43,3,51,17,0,True,6,0,63,3,Willian,Willian
44,3,61,4,0,False,7,0,63,3,Willian,Willian
45,3,71,7,0,True,8,0,63,3,Willian,Willian
46,3,81,2,0,True,9,0,63,3,Willian,Willian
47,3,93,9,0,False,10,0,63,3,Willian,Willian
48,3,101,18,0,True,11,0,63,3,Willian,Willian
49,3,114,11,0,False,12,0,63,3,Willian,Willian
50,3,121,14,0,True,13,0,63,3,Willian,Willian
51,3,134,13,0,False,14,0,63,3,Willian,Willian
52,3,142,8,0,False,15,0,63,3,Willian,Willian
53,3,151,16,0,True,16,0,63,3,Willian,Willian
54,3,161,19,0,True,17,0,63,3,Willian,Willian
55,3,173,10,0,False,18,0,63,3,Willian,Willian
56,3,187,15,0,False,19,0,63,3,Willian,Willian
57,4,1,3,0,False,1,0,100,4,Pierre-Emerick,Aubameyang
58,4,18,6,1,True,2,29,99,4,Pierre-Emerick,Aubameyang
59,4,24,12,1,False,3,58,99,4,Pierre-Emerick,Aubameyang
60,4,31,15,9,True,4,90,99,4,Pierre-Emerick,Aubameyang
61,4,43,5,2,False,5,90,99,4,Pierre-Emerick,Aubameyang
62,4,51,17,7,True,6,90,99,4,Pierre-Emerick,Aubameyang
63,4,61,4,2,False,7,71,99,4,Pierre-Emerick,Aubameyang
