,name,element_type,Round,Squad,Opponent,total_points_y,Min_last_5,Gls_last_5,Ast_last_5,PK_last_5,PKatt_last_5,Sh_last_5,SoT_last_5,CrdY_last_5,CrdR_last_5,Touches_last_5,Press_last_5,Tkl_last_5,Int_last_5,Blocks_last_5,xG_last_5,npxG_last_5,xA_last_5,SCA_last_5,GCA_last_5,Cmp_last_5,Att_last_5,Cmp%_last_5,PrgDist_last_5,Carries_last_5,PrgDist.1_last_5,Succ_last_5,Att.1_last_5,Min_total,Gls_total,Ast_total,PK_total,PKatt_total,Sh_total,SoT_total,CrdY_total,CrdR_total,Touches_total,Press_total,Tkl_total,Int_total,Blocks_total,xG_total,npxG_total,xA_total,SCA_total,GCA_total,Cmp_total,Att_total,Cmp%_total,PrgDist_total,Carries_total,PrgDist.1_total,Succ_total,Att.1_total,deep_over_5_opp,deep_allowed_over_5_opp,missed_over_5_opp,npxG_over_5_opp,npxGA_over_5_opp,ppda_att_over_5_opp,ppda_def_over_5_opp,ppda_allowed_att_over_5_opp,ppda_allowed_def_over_5_opp,deep_over_5,deep_allowed_over_5,missed_over_5,npxG_over_5,npxGA_over_5,ppda_att_over_5,ppda_def_over_5
218,Aaron Connolly,F,12,Brighton,Leicester City,1,26.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,8.0,4.2,0.0,0.0,0.0,0.14000000000000004,0.1399999999999997,0.019999999999999896,1.0,0.2,3.6,4.6,52.3,12.4,6.2,20.2,0.4,0.4,130.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,40.0,21.0,0.0,0.0,0.0,0.7000000000000013,0.7000000000000004,0.0999999999999995,5.0,1.0,18.0,23.0,261.4999999999999,62.0,31.0,101.0,2.0,2.0,5.6,6.4,1.4,1.5000151999999995,1.5333585999999992,258.4,19.0,281.2,21.0,7.8,3.4,1.2,1.0945056000000002,0.8342383999999999,226.2,19.6
219,Aaron Connolly,F,13,Brighton,Fulham,0,31.8,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,9.0,4.8,0.2,0.0,0.0,0.14000000000000004,0.1399999999999997,0.019999999999999896,1.0,0.2,3.8,5.0,62.3,12.4,6.2,20.2,0.4,0.4,159.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,45.0,24.0,1.0,0.0,0.0,0.7000000000000013,0.7000000000000004,0.0999999999999995,5.0,1.0,19.0,25.0,311.4999999999999,62.0,31.0,101.0,2.0,2.0,5.2,9.6,1.6,1.0971448000000006,1.7040939999999996,372.6,17.8,184.6,21.8,7.4,5.0,1.4,1.1879488000000005,0.9207023999999999,237.4,22.4
220,Aaron Connolly,F,14,Brighton,Sheffield Utd,2,30.8,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,8.8,4.8,0.2,0.0,0.0,0.14000000000000004,0.1399999999999997,0.019999999999999896,1.0,0.2,3.6,4.8,42.3,10.4,6.0,20.2,0.4,0.4,154.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,44.0,24.0,1.0,0.0,0.0,0.7000000000000013,0.7000000000000004,0.0999999999999995,5.0,1.0,18.0,24.0,211.4999999999999,52.0,30.0,101.0,2.0,2.0,6.4,6.8,2.0,1.1605843999999998,1.8574879999999987,295.6,21.8,157.4,17.6,5.0,5.6,1.4,0.9623960000000004,1.0562117999999998,233.8,23.4
221,Aaron Connolly,F,16,Brighton,Arsenal,0,48.8,0.0,0.0,0.0,0.0,1.2,0.4,0.0,0.0,13.2,7.0,0.4,0.0,0.4,0.26000000000000006,0.2599999999999997,0.019999999999999896,1.2,0.2,5.6,6.8,62.3,11.8,8.4,29.0,0.4,0.6,244.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,66.0,35.0,2.0,0.0,2.0,1.3000000000000012,1.3000000000000003,0.0999999999999995,6.0,1.0,28.0,34.0,311.4999999999999,59.0,42.0,145.0,2.0,3.0,9.0,4.6,1.4,0.9569090000000001,0.8947495999999996,226.8,19.8,258.2,17.2,7.4,6.2,1.6,1.3866398000000004,1.1321457999999995,189.2,21.2
223,Aaron Cresswell,D,11,West Ham,Manchester Utd,1,90.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,64.0,5.6,1.6,0.4,1.4,0.04000000000000004,0.03999999999999969,0.11999999999999993,1.8,0.0,41.0,55.2,71.44,456.0,35.6,81.0,0.0,0.6,450.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,320.0,28.0,8.0,2.0,7.0,0.2000000000000012,0.20000000000000032,0.5999999999999995,9.0,0.0,205.0,276.0,357.1999999999999,2280.0,178.0,405.0,0.0,3.0,10.4,4.6,1.0,1.5843785999999995,0.8161711999999988,277.4,23.2,317.4,25.4,4.0,9.0,0.8,0.9289519999999994,1.0208156,326.2,18.6
224,Aaron Cresswell,D,12,West Ham,Leeds United,5,90.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,70.6,5.8,1.6,0.6,1.4,0.04000000000000004,0.03999999999999969,0.15999999999999992,2.4,0.0,47.2,62.2,73.38,476.2,40.8,94.6,0.0,0.4,450.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,353.0,29.0,8.0,3.0,7.0,0.2000000000000012,0.20000000000000032,0.7999999999999996,12.0,0.0,236.0,311.0,366.89999999999986,2381.0,204.0,473.0,0.0,2.0,8.6,6.4,2.2,1.7397546,2.1029755999999993,178.6,28.0,328.2,19.4,4.6,7.6,1.2,1.3822161999999993,1.1997403999999998,325.4,19.2
225,Aaron Cresswell,D,13,West Ham,Crystal Palace,2,90.0,0.0,0.2,0.0,0.0,0.6,0.4,0.0,0.0,70.6,4.4,0.4,0.6,1.4,0.04000000000000004,0.03999999999999969,0.1799999999999999,3.2,0.4,49.2,64.8,74.06,508.2,39.4,95.2,0.0,0.2,450.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,353.0,22.0,2.0,3.0,7.0,0.2000000000000012,0.20000000000000032,0.8999999999999996,16.0,2.0,246.0,324.0,370.2999999999999,2541.0,197.0,476.0,0.0,1.0,10.2,5.6,1.2,1.3301766000000008,1.171157399999999,256.6,17.4,225.6,26.0,6.0,6.8,1.0,1.685426599999999,1.2004259999999998,298.8,19.2
226,Aaron Cresswell,D,14,West Ham,Chelsea,1,90.0,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,66.0,3.2,0.2,1.0,1.8,3.8857805861880476e-17,0.0,0.07999999999999992,2.0,0.4,43.6,59.2,72.52000000000001,437.8,34.8,73.2,0.0,0.6,450.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,330.0,16.0,1.0,5.0,9.0,1.1934897514720433e-15,3.0531133177191805e-16,0.3999999999999996,10.0,2.0,218.0,296.0,362.5999999999999,2189.0,174.0,366.0,0.0,3.0,6.6,4.0,0.8,2.0525390000000003,0.5534173999999988,197.6,25.2,332.8,16.4,5.4,6.6,1.2,1.4900923999999993,1.2010299999999998,293.4,18.4
227,Aaron Cresswell,D,15,West Ham,Brighton,4,90.0,0.0,0.2,0.0,0.0,0.6,0.2,0.0,0.0,63.0,3.6,0.4,1.0,1.4,3.8857805861880476e-17,0.0,0.07999999999999992,2.0,0.4,41.2,57.0,71.36,394.6,32.2,63.4,0.0,0.4,450.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,315.0,18.0,2.0,5.0,7.0,1.1934897514720433e-15,3.0531133177191805e-16,0.3999999999999996,10.0,2.0,206.0,285.0,356.7999999999999,1973.0,161.0,317.0,0.0,2.0,7.0,5.2,1.4,1.2425140000000003,0.9106097999999996,207.4,22.0,231.8,21.0,5.2,7.0,1.8,1.1227997999999992,1.5448691999999995,304.0,18.8
228,Aaron Cresswell,D,16,West Ham,Southampton,6,90.0,0.0,0.2,0.0,0.0,0.8,0.2,0.0,0.0,66.2,3.8,0.4,1.2,1.2,0.02000000000000004,0.019999999999999685,0.07999999999999992,2.4,0.4,44.8,60.4,73.76,429.4,36.4,92.8,0.2,0.6,450.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,331.0,19.0,2.0,6.0,6.0,0.1000000000000012,0.10000000000000031,0.3999999999999996,12.0,2.0,224.0,302.0,368.7999999999999,2147.0,182.0,464.0,1.0,3.0,6.0,6.0,0.6,0.9372419999999998,0.818136999999999,197.4,26.8,291.2,24.0,6.0,6.4,2.0,1.2862271999999992,1.5201031999999997,312.8,17.8
