,Name,Venue,Round,Squad,Opponent,Min,PSxG
0,Alisson,Away,Matchweek 1,Liverpool,Norwich City,90,0.8
1,Alisson,Home,Matchweek 2,Liverpool,Burnley,90,0.7
2,Alisson,Home,Matchweek 3,Liverpool,Chelsea,90,0.4
3,Alisson,Away,Matchweek 4,Liverpool,Leeds United,90,1.5
4,Alisson,Home,Matchweek 5,Liverpool,Crystal Palace,90,0.2
5,Alisson,Away,Matchweek 6,Liverpool,Brentford,90,1.4
6,Alisson,Home,Matchweek 7,Liverpool,Manchester City,90,1.2
7,Alisson,Away,Matchweek 9,Liverpool,Manchester Utd,90,0.4
8,Alisson,Home,Matchweek 10,Liverpool,Brighton,90,1.4
9,Alisson,Away,Matchweek 11,Liverpool,West Ham,90,1.1
10,Alisson,Home,Matchweek 12,Liverpool,Arsenal,90,0.8
11,Alisson,Home,Matchweek 13,Liverpool,Southampton,90,1.4
12,Alisson,Away,Matchweek 14,Liverpool,Everton,90,0.0
13,Alisson,Away,Matchweek 15,Liverpool,Wolves,90,0.5
14,Alisson,Home,Matchweek 17,Liverpool,Newcastle Utd,90,0.6
15,Alisson,Away,Matchweek 18,Liverpool,Tottenham,90,3.0
16,Alisson,Away,Matchweek 20,Liverpool,Leicester City,90,0.2
17,Alisson,Home,Matchweek 22,Liverpool,Brentford,90,0.1
18,Alisson,Away,Matchweek 23,Liverpool,Crystal Palace,90,3.0
19,Alisson,Home,Matchweek 24,Liverpool,Leicester City,90,0.0
20,Alisson,Away,Matchweek 25,Liverpool,Burnley,90,0.7
21,Alisson,Home,Matchweek 26,Liverpool,Norwich City,90,0.2
22,Alisson,Home,Matchweek 19,Liverpool,Leeds United,90,0.0
23,Alisson,Home,Matchweek 28,Liverpool,West Ham,90,0.5
24,Alisson,Away,Matchweek 29,Liverpool,Brighton,90,0.8
25,Alisson,Away,Matchweek 27,Liverpool,Arsenal,90,0.4
26,Alisson,Home,Matchweek 31,Liverpool,Watford,90,0.3
27,Alisson,Away,Matchweek 32,Liverpool,Manchester City,90,1.8
28,Alisson,Home,Matchweek 30,Liverpool,Manchester Utd,90,0.0
29,Alisson,Home,Matchweek 34,Liverpool,Everton,90,0.0
30,Alisson,Away,Matchweek 35,Liverpool,Newcastle Utd,90,0.2
31,Alisson,Home,Matchweek 36,Liverpool,Tottenham,90,0.6
32,Alisson,Away,Matchweek 33,Liverpool,Aston Villa,90,1.1
33,Alisson,Away,Matchweek 37,Liverpool,Southampton,90,0.5
34,Alisson,Home,Matchweek 38,Liverpool,Wolves,90,1.3
35,Alphonse Areola,Away,Matchweek 1,West Ham,Newcastle Utd,"On matchday squad, but did not play","On matchday squad, but did not play"
36,Alphonse Areola,Home,Matchweek 2,West Ham,Leicester City,"On matchday squad, but did not play","On matchday squad, but did not play"
37,Alphonse Areola,Home,Matchweek 3,West Ham,Crystal Palace,"On matchday squad, but did not play","On matchday squad, but did not play"
38,Alphonse Areola,Away,Matchweek 4,West Ham,Southampton,"On matchday squad, but did not play","On matchday squad, but did not play"
39,Alphonse Areola,Home,Matchweek 5,West Ham,Manchester Utd,"On matchday squad, but did not play","On matchday squad, but did not play"
40,Alphonse Areola,Away,Matchweek 6,West Ham,Leeds United,"On matchday squad, but did not play","On matchday squad, but did not play"
41,Alphonse Areola,Home,Matchweek 7,West Ham,Brentford,"On matchday squad, but did not play","On matchday squad, but did not play"
42,Alphonse Areola,Away,Matchweek 8,West Ham,Everton,"On matchday squad, but did not play","On matchday squad, but did not play"
43,Alphonse Areola,Home,Matchweek 9,West Ham,Tottenham,"On matchday squad, but did not play","On matchday squad, but did not play"
44,Alphonse Areola,Away,Matchweek 10,West Ham,Aston Villa,"On matchday squad, but did not play","On matchday squad, but did not play"
45,Alphonse Areola,Home,Matchweek 11,West Ham,Liverpool,"On matchday squad, but did not play","On matchday squad, but did not play"
46,Alphonse Areola,Away,Matchweek 12,West Ham,Wolves,"On matchday squad, but did not play","On matchday squad, but did not play"
47,Alphonse Areola,Away,Matchweek 13,West Ham,Manchester City,"On matchday squad, but did not play","On matchday squad, but did not play"
48,Alphonse Areola,Home,Matchweek 14,West Ham,Brighton,"On matchday squad, but did not play","On matchday squad, but did not play"
