,Name,Venue,Round,Squad,Opponent,Min,xG,xA,Touches
0,Max Aarons,Home,Matchweek 1,Norwich City,Liverpool,90,0.0,0.0,79
1,Max Aarons,Away,Matchweek 2,Norwich City,Manchester City,90,0.0,0.0,45
2,Max Aarons,Home,Matchweek 3,Norwich City,Leicester City,90,0.0,0.3,63
3,Max Aarons,Away,Matchweek 4,Norwich City,Arsenal,90,0.1,0.1,55
4,Max Aarons,Home,Matchweek 5,Norwich City,Watford,90,0.0,0.0,59
5,Max Aarons,Away,Matchweek 6,Norwich City,Everton,90,0.0,0.0,64
6,Max Aarons,Away,Matchweek 7,Norwich City,Burnley,90,0.1,0.1,52
7,Max Aarons,Home,Matchweek 8,Norwich City,Brighton,90,0.0,0.2,39
8,Max Aarons,Away,Matchweek 9,Norwich City,Chelsea,90,0.0,0.0,44
9,Max Aarons,Home,Matchweek 10,Norwich City,Leeds United,90,0.1,0.0,32
10,Max Aarons,Away,Matchweek 11,Norwich City,Brentford,90,0.0,0.0,51
11,Max Aarons,Home,Matchweek 12,Norwich City,Southampton,90,0.0,0.1,53
12,Max Aarons,Home,Matchweek 13,Norwich City,Wolves,90,0.3,0.0,54
13,Max Aarons,Away,Matchweek 14,Norwich City,Newcastle Utd,90,0.0,0.1,94
14,Max Aarons,Away,Matchweek 15,Norwich City,Tottenham,90,0.0,0.0,68
15,Max Aarons,Home,Matchweek 16,Norwich City,Manchester Utd,90,0.0,0.0,70
16,Max Aarons,Home,Matchweek 17,Norwich City,Aston Villa,90,0.0,0.0,85
17,Max Aarons,Home,Matchweek 19,Norwich City,Arsenal,90,0.0,0.0,47
18,Max Aarons,Away,Matchweek 18,Norwich City,West Ham,90,0.0,0.0,49
19,Max Aarons,Home,Matchweek 22,Norwich City,Everton,79,0.0,0.0,46
20,Max Aarons,Away,Matchweek 23,Norwich City,Watford,90,0.0,0.0,58
21,Max Aarons,Home,Matchweek 24,Norwich City,Crystal Palace,90,0.0,0.0,45
22,Max Aarons,Home,Matchweek 25,Norwich City,Manchester City,62,0.1,0.0,37
23,Max Aarons,Away,Matchweek 26,Norwich City,Liverpool,90,0.0,0.0,41
24,Max Aarons,Away,Matchweek 27,Norwich City,Southampton,90,0.0,0.0,62
25,Max Aarons,Home,Matchweek 28,Norwich City,Brentford,10,0.0,0.0,24
26,Max Aarons,Home,Matchweek 30,Norwich City,Chelsea,90,0.0,0.0,66
